,R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,C1,C1_,C2,C2_,timestamp
94,5741,5674,6322,5961,4659,4623,5352,5010,6384,6304,7166,6655,15629.0,15557.0,17447.0,16323.0,2018-10-22 16:04:02
95,5701,5674,6341,5961,4643,4623,5360,5010,6379,6304,7168,6655,15566.0,15557.0,17477.0,16323.0,2018-10-22 16:06:01
96,5723,5674,6309,5961,4652,4623,5347,5010,6381,6304,7165,6655,15602.0,15557.0,17430.0,16323.0,2018-10-22 16:07:50
97,5699,5674,6326,5961,4642,4623,5355,5010,6377,6304,7169,6655,15563.0,15557.0,17457.0,16323.0,2018-10-22 16:09:50
98,5709,5674,6345,5961,4646,4623,5363,5010,6379,6304,7164,6655,15580.0,15557.0,17485.0,16323.0,2018-10-22 16:11:50
99,5736,5674,6311,5961,4658,4623,5349,5010,6382,6304,7166,6655,15623.0,15557.0,17433.0,16323.0,2018-10-22 16:13:51
100,5708,5674,6329,5961,4646,4623,5356,5010,6378,6304,7167,6655,15578.0,15557.0,17459.0,16323.0,2018-10-22 16:15:55
101,5720,5674,6298,5961,4651,4623,5343,5010,6379,6304,7163,6655,15598.0,15557.0,17490.0,16323.0,2018-10-22 16:17:50
102,5697,5674,6315,5961,4640,4623,5350,5010,6375,6304,7165,6655,15558.0,15557.0,17438.0,16323.0,2018-10-22 16:19:52
103,5718,5674,6332,5961,4650,4623,5357,5010,6377,6304,7167,6655,15591.0,15557.0,17463.0,16323.0,2018-10-22 16:21:53
104,5732,5674,6301,5961,4656,4623,5345,5010,6380,6304,7165,6655,15614.0,15557.0,17419.0,16323.0,2018-10-22 16:23:51
105,5705,5674,6315,5961,4644,4623,5350,5010,6375,6304,7166,6655,15570.0,15557.0,17440.0,16323.0,2018-10-22 16:25:52
106,5728,5674,6332,5961,4653,4623,5358,5010,6378,6304,7169,6655,15605.0,15557.0,17469.0,16323.0,2018-10-22 16:27:51
107,5741,5674,6301,5961,4659,4623,5346,5010,6380,6304,7168,6655,15626.0,15557.0,17424.0,16323.0,2018-10-22 16:29:52
108,5711,5674,6317,5961,4647,4623,5353,5010,6376,6304,7171,6655,15579.0,15557.0,17449.0,16323.0,2018-10-22 16:31:52
109,5738,5674,6335,5961,4657,4623,5360,5010,6378,6304,7172,6655,15621.0,15557.0,17476.0,16323.0,2018-10-22 16:33:53
110,5698,5674,6303,5961,4641,4623,5348,5010,6373,6304,7170,6655,15559.0,15557.0,17430.0,16323.0,2018-10-22 16:35:52
111,5719,5674,6317,5961,4650,4623,5355,5010,6376,6304,7173,6655,15591.0,15557.0,17453.0,16323.0,2018-10-22 16:37:52
112,5746,5674,6333,5961,4639,4623,5361,5010,6371,6304,7175,6655,15633.0,15557.0,17478.0,16323.0,2018-10-22 16:39:52
113,5702,5674,6351,5961,4642,4623,5347,5010,6373,6304,7171,6655,15563.0,15557.0,17506.0,16323.0,2018-10-22 16:41:52
114,5725,5674,6314,5961,4652,4623,5354,5010,6375,6304,7174,6655,15599.0,15557.0,17450.0,16323.0,2018-10-22 16:43:52
115,5699,5674,6330,5961,4640,4623,5360,5010,6371,6304,7176,6655,15557.0,15557.0,17475.0,16323.0,2018-10-22 16:45:52
116,5722,5674,6348,5961,4650,4623,5368,5010,6374,6304,7177,6655,15592.0,15557.0,17503.0,16323.0,2018-10-22 16:47:53
117,5736,5674,6316,5961,4656,4623,5356,5010,6377,6304,7177,6655,15616.0,15557.0,17456.0,16323.0,2018-10-22 16:49:53
118,5708,5674,6333,5961,4644,4623,5363,5010,6373,6304,7180,6655,15572.0,15557.0,17485.0,16323.0,2018-10-22 16:51:53
119,5734,5674,6352,5961,4655,4623,5371,5010,6376,6304,7176,6655,15611.0,15557.0,17513.0,16323.0,2018-10-22 16:53:53
120,5695,5674,6317,5961,4638,4623,5356,5010,6370,6304,7178,6655,15633.0,15557.0,17460.0,16323.0,2018-10-22 16:56:01
121,5718,5674,6333,5961,4648,4623,5363,5010,6373,6304,7179,6655,15586.0,15557.0,17485.0,16323.0,2018-10-22 16:57:53
122,5748,5674,6353,5961,4638,4623,5351,5010,6369,6304,7176,6655,15632.0,15557.0,17515.0,16323.0,2018-10-22 16:59:54
123,5702,5674,6316,5961,4641,4623,5357,5010,6369,6304,7179,6655,15559.0,15557.0,17462.0,16323.0,2018-10-22 17:01:54
124,5725,5674,6331,5961,4650,4623,5364,5010,6371,6304,7182,6655,15594.0,15557.0,17486.0,16323.0,2018-10-22 17:03:54
125,5700,5674,6351,5961,4640,4623,5372,5010,6368,6304,7185,6655,15555.0,15557.0,17515.0,16323.0,2018-10-22 17:05:54
126,5709,5674,6316,5961,4643,4623,5359,5010,6369,6304,7183,6655,15568.0,15557.0,17464.0,16323.0,2018-10-22 17:07:54
127,5736,5674,6333,5961,4654,4623,5366,5010,6372,6304,7188,6655,15610.0,15557.0,17491.0,16323.0,2018-10-22 17:09:57
128,5707,5674,6352,5961,4642,4623,5375,5010,6368,6304,7193,6655,15564.0,15557.0,17524.0,16323.0,2018-10-22 17:11:54
129,5717,5674,6317,5961,4646,4623,5363,5010,6370,6304,7193,6655,15580.0,15557.0,17476.0,16323.0,2018-10-22 17:13:56
130,5745,5674,6334,5961,4657,4623,5371,5010,6364,6304,7198,6655,15620.0,15557.0,17505.0,16323.0,2018-10-22 17:15:55
131,5713,5674,6350,5961,4644,4623,5378,5010,6367,6304,7201,6655,15571.0,15557.0,17530.0,16323.0,2018-10-22 17:17:55
132,5724,5674,6317,5961,4648,4623,5365,5010,6368,6304,7200,6655,15587.0,15557.0,17483.0,16323.0,2018-10-22 17:19:55
133,5699,5674,6334,5961,4638,4623,5374,5010,6364,6304,7206,6655,15548.0,15557.0,17513.0,16323.0,2018-10-22 17:21:55
134,5722,5674,6352,5961,4648,4623,5382,5010,6367,6304,7211,6655,15585.0,15557.0,17543.0,16323.0,2018-10-22 17:23:55
135,5732,5674,6318,5961,4651,4623,5369,5010,6367,6304,7209,6655,15598.0,15557.0,17495.0,16323.0,2018-10-22 17:25:55
136,5705,5674,6334,5961,4640,4623,5376,5010,6363,6304,7212,6655,15554.0,15557.0,17519.0,16323.0,2018-10-22 17:27:55
137,5728,5674,6349,5961,4649,4623,5382,5010,6365,6304,7212,6655,15590.0,15557.0,17541.0,16323.0,2018-10-22 17:29:58
138,5741,5674,6316,5961,4654,4623,5368,5010,6365,6304,7208,6655,15609.0,15557.0,17489.0,16323.0,2018-10-22 17:31:56
139,5711,5674,6331,5961,4642,4623,5374,5010,6362,6304,7210,6655,15562.0,15557.0,17513.0,16323.0,2018-10-22 17:33:56
140,5738,5674,6348,5961,4653,4623,5381,5010,6364,6304,7213,6655,15602.0,15557.0,17540.0,16323.0,2018-10-22 17:35:56
141,5697,5674,6365,5961,4635,4623,5367,5010,6358,6304,7208,6655,15538.0,15557.0,17565.0,16323.0,2018-10-22 17:37:56
142,5718,5674,6329,5961,4644,4623,5374,5010,6361,6304,7210,6655,15570.0,15557.0,17510.0,16323.0,2018-10-22 17:39:56
143,5694,5674,6343,5961,4634,4623,5379,5010,6357,6304,7211,6655,15615.0,15557.0,17532.0,16323.0,2018-10-22 17:41:56
144,5702,5674,6361,5961,4637,4623,5386,5010,6358,6304,7213,6655,15544.0,15557.0,17559.0,16323.0,2018-10-22 17:43:57
