R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,C1,C1_,C2,C2_,timestamp
6535,6480,10071,10004,5153,5054,7498,7344,7161,6916,9187,8878,17928,17456,27556,26918,2018-10-22 14:57:20
6571,6480,10064,10004,5170,5054,7495,7344,7150,6916,9184,8878,17989,17456,27541,26918,2018-10-22 14:59:20
6523,6480,10058,10004,5147,5054,7492,7344,7158,6916,9183,8878,17906,17456,27530,26918,2018-10-22 15:01:20
6509,6480,10051,10004,5140,5054,7489,7344,7154,6916,9181,8878,17881,17456,27517,26918,2018-10-22 15:03:20
6536,6480,10047,10004,5153,5054,7487,7344,7161,6916,9179,8878,17928,17456,27510,26918,2018-10-22 15:05:20
6575,6480,10045,10004,5136,5054,7486,7344,7151,6916,9180,8878,17995,17456,27506,26918,2018-10-22 15:07:20
6554,6480,10044,10004,5161,5054,7486,7344,7166,6916,9179,8878,17958,17456,27502,26918,2018-10-22 15:09:20
6514,6480,10039,10004,5143,5054,7483,7344,7155,6916,9177,8878,17889,17456,27496,26918,2018-10-22 15:11:21
6547,6480,10038,10004,5158,5054,7483,7344,7165,6916,9177,8878,17947,17456,27493,26918,2018-10-22 15:13:21
6529,6480,10036,10004,5150,5054,7482,7344,7160,6916,9177,8878,17916,17456,27487,26918,2018-10-22 15:15:21
6561,6480,10164,10004,5164,5054,7549,7344,7167,6916,9180,8878,17968,17456,27745,26918,2018-10-22 15:17:21
6516,6480,10148,10004,5143,5054,7539,7344,7155,6916,9214,8878,17891,17456,27709,26918,2018-10-22 15:19:21
6545,6480,10138,10004,5157,5054,7534,7344,7162,6916,9210,8878,17940,17456,27688,26918,2018-10-22 15:21:21
6527,6480,10130,10004,5149,5054,7530,7344,7158,6916,9208,8878,17911,17456,27674,26918,2018-10-22 15:23:21
6561,6480,10122,10004,5165,5054,7526,7344,7167,6916,9205,8878,17969,17456,27657,26918,2018-10-22 15:25:21
6517,6480,10117,10004,5144,5054,7523,7344,7155,6916,9204,8878,17893,17456,27647,26918,2018-10-22 15:27:22
6503,6480,10108,10004,5137,5054,7519,7344,7150,6916,9201,8878,17998,17456,27630,26918,2018-10-22 15:29:22
6529,6480,10102,10004,5149,5054,7516,7344,7157,6916,9200,8878,17911,17456,27620,26918,2018-10-22 15:31:22
6563,6480,10096,10004,5165,5054,7513,7344,7167,6916,9197,8878,17972,17456,27606,26918,2018-10-22 15:33:22
6544,6480,10090,10004,5156,5054,7510,7344,7163,6916,9196,8878,17938,17456,27595,26918,2018-10-22 15:35:22
6505,6480,10084,10004,5137,5054,7508,7344,7150,6916,9194,8878,17868,17456,27583,26918,2018-10-22 15:37:22
6532,6480,10080,10004,5150,5054,7505,7344,7158,6916,9193,8878,17916,17456,27575,26918,2018-10-22 15:39:23
6517,6480,10077,10004,5144,5054,7503,7344,7154,6916,9191,8878,17891,17456,27567,26918,2018-10-22 15:41:23
6549,6480,10074,10004,5158,5054,7503,7344,7163,6916,9191,8878,17945,17456,27564,26918,2018-10-22 15:43:23
6509,6480,10070,10004,5140,5054,7500,7344,7151,6916,9189,8878,17878,17456,27554,26918,2018-10-22 15:45:23
6536,6480,10063,10004,5153,5054,7497,7344,7159,6916,9186,8878,17924,17456,27542,26918,2018-10-22 15:47:23
6519,6480,10056,10004,5144,5054,7493,7344,7154,6916,9184,8878,17893,17456,27528,26918,2018-10-22 15:49:23
6550,6480,10051,10004,5159,5054,7491,7344,7162,6916,9183,8878,17946,17456,27519,26918,2018-10-22 15:51:24
6509,6480,10045,10004,5139,5054,7488,7344,7151,6916,9180,8878,17874,17456,27505,26918,2018-10-22 15:53:23
6565,6480,10173,10004,5166,5054,7485,7344,7166,6916,9179,8878,17971,17456,27756,26918,2018-10-22 15:55:24
6519,6480,10165,10004,5144,5054,7549,7344,7153,6916,9220,8878,17893,17456,27739,26918,2018-10-22 15:57:24
6547,6480,10150,10004,5157,5054,7541,7344,7160,6916,9215,8878,17939,17456,27709,26918,2018-10-22 15:59:24
6529,6480,10140,10004,5149,5054,7536,7344,7156,6916,9212,8878,17909,17456,27691,26918,2018-10-22 16:01:24
6563,6480,10132,10004,5164,5054,7532,7344,7165,6916,9209,8878,17966,17456,27674,26918,2018-10-22 16:03:25
6518,6480,10124,10004,5143,5054,7528,7344,7152,6916,9207,8878,17889,17456,27660,26918,2018-10-22 16:05:25
6505,6480,10118,10004,5137,5054,7525,7344,7149,6916,9205,8878,17866,17456,27647,26918,2018-10-22 16:07:25
6532,6480,10108,10004,5150,5054,7520,7344,7156,6916,9202,8878,17913,17456,27630,26918,2018-10-22 16:09:25
6568,6480,10100,10004,5167,5054,7516,7344,7166,6916,9200,8878,17975,17456,27614,26918,2018-10-22 16:11:25
6521,6480,10093,10004,5145,5054,7512,7344,7153,6916,9198,8878,17893,17456,27600,26918,2018-10-22 16:13:25
6509,6480,10087,10004,5139,5054,7509,7344,7149,6916,9195,8878,17871,17456,27586,26918,2018-10-22 16:15:25
6538,6480,10080,10004,5152,5054,7505,7344,7158,6916,9192,8878,17922,17456,27574,26918,2018-10-22 16:17:25
6501,6480,10073,10004,5135,5054,7502,7344,7147,6916,9190,8878,17988,17456,27559,26918,2018-10-22 16:19:25
6553,6480,10067,10004,5160,5054,7500,7344,7162,6916,9189,8878,17949,17456,27547,26918,2018-10-22 16:21:25
6513,6480,10062,10004,5141,5054,7497,7344,7150,6916,9187,8878,17878,17456,27538,26918,2018-10-22 16:23:25
6541,6480,10054,10004,5153,5054,7493,7344,7158,6916,9185,8878,17926,17456,27523,26918,2018-10-22 16:25:26
6522,6480,10047,10004,5144,5054,7489,7344,7152,6916,9182,8878,17892,17456,27772,26918,2018-10-22 16:27:26
6556,6480,10171,10004,5160,5054,7552,7344,7161,6916,9180,8878,17950,17456,27753,26918,2018-10-22 16:29:26
6516,6480,10163,10004,5141,5054,7548,7344,7149,6916,9219,8878,17880,17456,27735,26918,2018-10-22 16:31:26
6505,6480,10159,10004,5137,5054,7545,7344,7146,6916,9217,8878,17861,17456,27727,26918,2018-10-22 16:33:26
6536,6480,10156,10004,5151,5054,7544,7344,7155,6916,9217,8878,17916,17456,27720,26918,2018-10-22 16:35:26
6503,6480,10154,10004,5135,5054,7543,7344,7145,6916,9216,8878,17857,17456,27718,26918,2018-10-22 16:37:26
6533,6480,10151,10004,5150,5054,7542,7344,7154,6916,9215,8878,17910,17456,27710,26918,2018-10-22 16:39:27
6520,6480,10146,10004,5143,5054,7539,7344,7150,6916,9213,8878,17886,17456,27701,26918,2018-10-22 16:41:27
6553,6480,10139,10004,5159,5054,7536,7344,7158,6916,9211,8878,17942,17456,27686,26918,2018-10-22 16:43:27
6512,6480,10130,10004,5139,5054,7531,7344,7147,6916,9208,8878,17872,17456,27670,26918,2018-10-22 16:45:28
6500,6480,10123,10004,5134,5054,7527,7344,7143,6916,9205,8878,17980,17456,27654,26918,2018-10-22 16:47:27
6527,6480,10114,10004,5146,5054,7523,7344,7150,6916,9202,8878,17897,17456,27637,26918,2018-10-22 16:49:27
6564,6480,10109,10004,5163,5054,7520,7344,7159,6916,9200,8878,17960,17456,27626,26918,2018-10-22 16:51:27
6545,6480,10103,10004,5155,5054,7517,7344,7155,6916,9198,8878,17927,17456,27614,26918,2018-10-22 16:53:28
6508,6480,10100,10004,5137,5054,7516,7344,7145,6916,9197,8878,17863,17456,27606,26918,2018-10-22 16:55:28
6539,6480,10094,10004,5152,5054,7513,7344,7153,6916,9195,8878,17919,17456,27597,26918,2018-10-22 16:57:28
6524,6480,10090,10004,5144,5054,7510,7344,7148,6916,9194,8878,17889,17456,27589,26918,2018-10-22 16:59:28
6561,6480,10087,10004,5162,5054,7509,7344,7158,6916,9193,8878,17954,17456,27582,26918,2018-10-22 17:01:28
6518,6480,10082,10004,5142,5054,7507,7344,7146,6916,9191,8878,17879,17456,27571,26918,2018-10-22 17:03:29
6551,6480,10076,10004,5157,5054,7503,7344,7156,6916,9188,8878,17936,17456,27559,26918,2018-10-22 17:05:28
6534,6480,10072,10004,5149,5054,7502,7344,7151,6916,9187,8878,17907,17456,27553,26918,2018-10-22 17:07:29
6570,6480,10065,10004,5132,5054,7498,7344,7140,6916,9184,8878,17967,17456,27535,26918,2018-10-22 17:09:29
6522,6480,10058,10004,5144,5054,7494,7344,7148,6916,9182,8878,17886,17456,27521,26918,2018-10-22 17:11:29
6506,6480,10050,10004,5136,5054,7490,7344,7143,6916,9179,8878,17857,17456,27769,26918,2018-10-22 17:13:29
6534,6480,10172,10004,5149,5054,7551,7344,7149,6916,9176,8878,17904,17456,27746,26918,2018-10-22 17:15:29
6572,6480,10162,10004,5132,5054,7547,7344,7140,6916,9216,8878,17968,17456,27725,26918,2018-10-22 17:17:29
6549,6480,10152,10004,5156,5054,7542,7344,7153,6916,9212,8878,17930,17456,27708,26918,2018-10-22 17:19:29
6508,6480,10140,10004,5136,5054,7536,7344,7142,6916,9208,8878,17858,17456,27681,26918,2018-10-22 17:21:29
6535,6480,10130,10004,5149,5054,7530,7344,7149,6916,9204,8878,17906,17456,27661,26918,2018-10-22 17:23:30
6517,6480,10119,10004,5141,5054,7525,7344,7144,6916,9200,8878,17873,17456,27640,26918,2018-10-22 17:25:30
6546,6480,10110,10004,5154,5054,7520,7344,7151,6916,9197,8878,17923,17456,27621,26918,2018-10-22 17:27:30
6507,6480,10103,10004,5136,5054,7517,7344,7141,6916,9195,8878,17855,17456,27610,26918,2018-10-22 17:29:30
6534,6480,10096,10004,5148,5054,7512,7344,7148,6916,9192,8878,17901,17456,27593,26918,2018-10-22 17:31:30
6518,6480,10090,10004,5140,5054,7509,7344,7142,6916,9189,8878,17872,17456,27580,26918,2018-10-22 17:33:30
6552,6480,10086,10004,5156,5054,7507,7344,7152,6916,9188,8878,17931,17456,27571,26918,2018-10-22 17:35:30
6511,6480,10081,10004,5137,5054,7505,7344,7141,6916,9186,8878,17859,17456,27562,26918,2018-10-22 17:37:31
6500,6480,10078,10004,5132,5054,7504,7344,7137,6916,9185,8878,17838,17456,27557,26918,2018-10-22 17:39:31
6528,6480,10077,10004,5145,5054,7503,7344,7144,6916,9185,8878,17889,17456,27553,26918,2018-10-22 17:41:31
6567,6480,10073,10004,5163,5054,7501,7344,7135,6916,9183,8878,17955,17456,27546,26918,2018-10-22 17:43:31
6549,6480,10072,10004,5154,5054,7500,7344,7150,6916,9183,8878,17924,17456,27543,26918,2018-10-22 17:45:31
6510,6480,10069,10004,5136,5054,7499,7344,7139,6916,9181,8878,17857,17456,27536,26918,2018-10-22 17:47:31
6542,6480,10064,10004,5151,5054,7496,7344,7147,6916,9179,8878,17911,17456,27527,26918,2018-10-22 17:49:31
6526,6480,10062,10004,5143,5054,7494,7344,7143,6916,9178,8878,17883,17456,27521,26918,2018-10-22 17:51:32
6565,6480,10059,10004,5162,5054,7493,7344,7134,6916,9177,8878,17950,17456,27516,26918,2018-10-22 17:53:32
6521,6480,10055,10004,5141,5054,7491,7344,7141,6916,9176,8878,17872,17456,27508,26918,2018-10-22 17:55:32
6556,6480,10053,10004,5158,5054,7490,7344,7151,6916,9174,8878,17935,17456,27500,26918,2018-10-22 17:57:32
6539,6480,10050,10004,5149,5054,7489,7344,7146,6916,9173,8878,17904,17456,27760,26918,2018-10-22 17:59:32
6503,6480,10047,10004,5132,5054,7487,7344,7136,6916,9172,8878,17841,17456,27747,26918,2018-10-22 18:01:32
6532,6480,10176,10004,5146,5054,7486,7344,7144,6916,9172,8878,17892,17456,27741,26918,2018-10-22 18:03:33
6520,6480,10175,10004,5141,5054,7485,7344,7141,6916,9171,8878,17871,17456,27740,26918,2018-10-22 18:05:32
6557,6480,10172,10004,5157,5054,7550,7344,7149,6916,9171,8878,17934,17456,27733,26918,2018-10-22 18:07:33
6517,6480,10170,10004,5139,5054,7550,7344,7140,6916,9170,8878,17865,17456,27731,26918,2018-10-22 18:09:33
6506,6480,10171,10004,5134,5054,7550,7344,7136,6916,9170,8878,17845,17456,27734,26918,2018-10-22 18:11:33
6537,6480,10169,10004,5148,5054,7549,7344,7144,6916,9169,8878,17900,17456,27729,26918,2018-10-22 18:13:33
6503,6480,10170,10004,5132,5054,7549,7344,7135,6916,9169,8878,17840,17456,27729,26918,2018-10-22 18:15:33
6535,6480,10171,10004,5147,5054,7550,7344,7143,6916,9173,8878,17895,17456,27732,26918,2018-10-22 18:17:34
6523,6480,10174,10004,5142,5054,7551,7344,7140,6916,9170,8878,17875,17456,27736,26918,2018-10-22 18:19:34
6563,6480,10170,10004,5160,5054,7549,7344,7131,6916,9168,8878,17942,17456,27728,26918,2018-10-22 18:21:34
6518,6480,10164,10004,5139,5054,7546,7344,7138,6916,9208,8878,17864,17456,27717,26918,2018-10-22 18:23:34
6507,6480,10159,10004,5134,5054,7544,7344,7135,6916,9206,8878,17846,17456,27706,26918,2018-10-22 18:25:34
6537,6480,10150,10004,5147,5054,7539,7344,7142,6916,9204,8878,17896,17456,27688,26918,2018-10-22 18:27:35
6499,6480,10142,10004,5130,5054,7535,7344,7132,6916,9201,8878,17831,17456,27673,26918,2018-10-22 18:29:34
6555,6480,10133,10004,5156,5054,7530,7344,7147,6916,9197,8878,17928,17456,27652,26918,2018-10-22 18:31:34
6511,6480,10125,10004,5135,5054,7526,7344,7135,6916,9194,8878,17852,17456,27638,26918,2018-10-22 18:33:35
6546,6480,10125,10004,5151,5054,7526,7344,7143,6916,9195,8878,17909,17456,27638,26918,2018-10-22 18:35:35
6532,6480,10124,10004,5144,5054,7525,7344,7140,6916,9194,8878,17885,17456,27637,26918,2018-10-22 18:37:35
6498,6480,10123,10004,5129,5054,7524,7344,7131,6916,9192,8878,17828,17456,27632,26918,2018-10-22 18:39:35
6529,6480,10122,10004,5143,5054,7524,7344,7139,6916,9192,8878,17881,17456,27629,26918,2018-10-22 18:41:35
6496,6480,10121,10004,5127,5054,7523,7344,7129,6916,9192,8878,17820,17456,27630,26918,2018-10-22 18:43:35
6554,6480,10119,10004,5154,5054,7522,7344,7144,6916,9190,8878,17921,17456,27623,26918,2018-10-22 18:45:35
6515,6480,10120,10004,5136,5054,7522,7344,7134,6916,9191,8878,17854,17456,27625,26918,2018-10-22 18:47:35
6553,6480,10121,10004,5154,5054,7523,7344,7143,6916,9191,8878,17919,17456,27626,26918,2018-10-22 18:49:36
6537,6480,10121,10004,5146,5054,7523,7344,7139,6916,9190,8878,17891,17456,27624,26918,2018-10-22 18:51:36
6501,6480,10120,10004,5129,5054,7523,7344,7128,6916,9190,8878,17828,17456,27622,26918,2018-10-22 18:53:36
