R:6183 6144,7692 7549,G:5283 5196,5676 5527,B:7232 7069,7382 7167,C:16911 16595,20384 19826&&[14:00:48(423)Rx]
R:6183 6144,7693 7549,G:5284 5196,5676 5527,B:7232 7069,7383 7167,C:16912 16595,20384 19826&&[14:03:47(838)Rx]
R:6181 6144,7692 7549,G:5282 5196,5676 5527,B:7231 7069,7384 7167,C:16908 16595,20383 19826&&[14:06:48(052)Rx]
R:6181 6144,7691 7549,G:5282 5196,5676 5527,B:7232 7069,7385 7167,C:16908 16595,20382 19826&&[14:09:48(282)Rx]
R:6181 6144,7690 7549,G:5283 5196,5676 5527,B:7233 7069,7386 7167,C:16911 16595,20382 19826&&[14:12:48(443)Rx]
R:6181 6144,7691 7549,G:5283 5196,5676 5527,B:7233 7069,7387 7167,C:16910 16595,20385 19826&&[14:15:49(478)Rx]
R:6180 6144,7692 7549,G:5283 5196,5678 5527,B:7234 7069,7389 7167,C:16911 16595,20383 19826&&[14:18:49(649)Rx]
R:6181 6144,7694 7549,G:5283 5196,5678 5527,B:7234 7069,7390 7167,C:16911 16595,20389 19826&&[14:21:49(097)Rx]
R:6181 6144,7694 7549,G:5283 5196,5678 5527,B:7234 7069,7389 7167,C:16911 16595,20386 19826&&[14:24:50(078)Rx]
R:6181 6144,7694 7549,G:5284 5196,5678 5527,B:7235 7069,7390 7167,C:16912 16595,20386 19826&&[14:27:49(478)Rx]
R:6181 6144,7696 7549,G:5283 5196,5679 5527,B:7234 7069,7390 7167,C:16911 16595,20383 19826&&[14:30:49(714)Rx]
R:6183 6144,7698 7549,G:5284 5196,5679 5527,B:7233 7069,7389 7167,C:16913 16595,20384 19826&&[14:33:49(944)Rx]
R:6185 6144,7700 7549,G:5284 5196,5679 5527,B:7233 7069,7389 7167,C:16914 16595,20385 19826&&[14:36:50(130)Rx]
R:6183 6144,7698 7549,G:5283 5196,5678 5527,B:7233 7069,7389 7167,C:16911 16595,20381 19826&&[14:39:50(323)Rx]
R:6181 6144,7694 7549,G:5283 5196,5677 5527,B:7233 7069,7388 7167,C:16909 16595,20374 19826&&[14:42:50(498)Rx]
R:6182 6144,7696 7549,G:5283 5196,5679 5527,B:7234 7069,7390 7167,C:16911 16595,20378 19826&&[14:45:50(747)Rx]
R:6183 6144,7696 7549,G:5284 5196,5679 5527,B:7235 7069,7390 7167,C:16914 16595,20379 19826&&[14:48:50(947)Rx]
R:6183 6144,7697 7549,G:5284 5196,5680 5527,B:7234 7069,7392 7167,C:16914 16595,20383 19826&&[14:51:51(159)Rx]
R:6182 6144,7697 7549,G:5284 5196,5679 5527,B:7235 7069,7393 7167,C:16913 16595,20382 19826&&[14:54:51(355)Rx]
R:6183 6144,7697 7549,G:5285 5196,5680 5527,B:7237 7069,7394 7167,C:16916 16595,20383 19826&&[14:57:51(583)Rx]
R:6181 6144,7695 7549,G:5284 5196,5679 5527,B:7237 7069,7394 7167,C:16914 16595,20380 19826&&[15:00:51(770)Rx]
R:6180 6144,7695 7549,G:5284 5196,5680 5527,B:7238 7069,7396 7167,C:16916 16595,20382 19826&&[15:03:51(975)Rx]
R:6180 6144,7695 7549,G:5285 5196,5680 5527,B:7238 7069,7396 7167,C:16916 16595,20381 19826&&[15:06:52(202)Rx]
R:6180 6144,7695 7549,G:5285 5196,5681 5527,B:7240 7069,7397 7167,C:16918 16595,20383 19826&&[15:09:52(399)Rx]
R:6181 6144,7696 7549,G:5286 5196,5682 5527,B:7242 7069,7399 7167,C:16920 16595,20386 19826&&[15:12:52(600)Rx]
R:6180 6144,7696 7549,G:5285 5196,5682 5527,B:7240 7069,7398 7167,C:16919 16595,20382 19826&&[15:15:52(824)Rx]
R:6181 6144,7698 7549,G:5286 5196,5683 5527,B:7241 7069,7400 7167,C:16920 16595,20387 19826&&[15:18:52(990)Rx]
R:6180 6144,7697 7549,G:5286 5196,5683 5527,B:7242 7069,7400 7167,C:16920 16595,20386 19826&&[15:21:53(236)Rx]
R:6179 6144,7697 7549,G:5286 5196,5684 5527,B:7243 7069,7402 7167,C:16921 16595,20387 19826&&[15:24:53(435)Rx]
R:6180 6144,7697 7549,G:5286 5196,5684 5527,B:7244 7069,7403 7167,C:16922 16595,20387 19826&&[15:27:53(645)Rx]
R:6179 6144,7699 7549,G:5285 5196,5686 5527,B:7241 7069,7402 7167,C:16918 16595,20382 19826&&[15:30:53(859)Rx]
R:6179 6144,7693 7549,G:5286 5196,5683 5527,B:7243 7069,7400 7167,C:16921 16595,20365 19826&&[15:33:54(052)Rx]
R:6177 6144,7697 7549,G:5285 5196,5686 5527,B:7242 7069,7402 7167,C:16917 16595,20372 19826&&[15:36:54(252)Rx]
R:6177 6144,7698 7549,G:5285 5196,5689 5527,B:7243 7069,7406 7167,C:16917 16595,20375 19826&&[15:39:54(459)Rx]
R:6178 6144,7700 7549,G:5286 5196,5689 5527,B:7243 7069,7407 7167,C:16919 16595,20378 19826&&[15:42:54(672)Rx]
R:6178 6144,7699 7549,G:5285 5196,5688 5527,B:7241 7069,7406 7167,C:16917 16595,20376 19826&&[15:45:54(884)Rx]
R:6177 6144,7700 7549,G:5285 5196,5689 5527,B:7242 7069,7407 7167,C:16917 16595,20377 19826&&[15:48:55(099)Rx]
R:6178 6144,7701 7549,G:5286 5196,5690 5527,B:7243 7069,7409 7167,C:16921 16595,20382 19826&&[15:51:55(311)Rx]
